id,hostname,ip,sistema_operativo,ram_gb,cpu_cores,disco_gb,departamento,categoria_inventario,año_compra,activo
51,srv-oowe-0051,10.3.244.125,Windows Server 2019,8,16,256,Operaciones,Alimentación,2020,True
52,srv-blyl-0052,10.4.213.211,Debian 11,64,1,1024,Logística,Deportes,2016,False
53,srv-akeg-0053,10.4.191.48,CentOS 8,4,1,1024,Ventas,Hogar,2015,True
54,srv-bmhb-0054,10.4.168.36,Debian 11,64,1,120,Ventas,Deportes,2023,True
55,srv-dawc-0055,10.3.73.204,Debian 11,32,1,2048,RRHH,Alimentación,2019,False
56,srv-ltgp-0056,10.1.0.115,Red Hat 9,16,2,256,RRHH,Alimentación,2024,True
57,srv-fgke-0057,10.1.27.215,Windows Server 2019,16,8,1024,IT,Alimentación,2022,True
58,srv-kxqj-0058,10.1.55.226,Ubuntu 22.04,32,2,120,Ventas,Electrónica,2021,True
59,srv-hvei-0059,10.2.172.194,Ubuntu 20.04,16,2,2048,Marketing,Deportes,2020,True
60,srv-glkj-0060,10.1.125.162,Ubuntu 22.04,64,1,2048,RRHH,Alimentación,2023,False
61,srv-clmh-0061,10.2.110.158,Ubuntu 20.04,64,8,2048,Operaciones,Hogar,2021,True
62,srv-ztlg-0062,10.3.104.218,Windows Server 2019,4,4,1024,Ventas,Alimentación,2017,True
63,srv-iwap-0063,10.2.88.21,Debian 11,4,4,2048,Finanzas,Electrónica,2020,True
64,srv-yiex-0064,10.2.204.72,Ubuntu 22.04,16,1,256,Logística,Hogar,2016,True
65,srv-vkhs-0065,10.3.166.204,Windows Server 2022,32,8,120,Ventas,Hogar,2024,True
66,srv-keod-0066,10.0.238.75,Windows Server 2019,2,16,1024,IT,Electrónica,2021,True
67,srv-scrk-0067,10.4.11.53,Windows Server 2022,8,16,2048,IT,Hogar,2024,True
68,srv-papf-0068,10.4.172.223,Red Hat 9,32,4,120,Operaciones,Alimentación,2020,False
69,srv-blqt-0069,10.4.245.122,Debian 11,8,8,256,Ventas,Alimentación,2015,True
70,srv-mcmx-0070,10.0.243.221,Debian 11,8,8,120,IT,Alimentación,2018,False
71,srv-yujh-0071,10.4.49.184,Red Hat 9,32,16,256,Ventas,Deportes,2023,False
72,srv-ozsa-0072,10.0.158.117,Ubuntu 20.04,8,8,256,Logística,Electrónica,2020,False
73,srv-wryf-0073,10.0.224.1,Windows Server 2022,2,8,1024,Ventas,Alimentación,2021,False
74,srv-nnqq-0074,10.1.117.131,Windows Server 2022,16,2,512,RRHH,Hogar,2019,True
75,srv-vsbv-0075,10.5.243.249,Ubuntu 22.04,2,4,256,Logística,Alimentación,2023,True
76,srv-ntki-0076,10.3.159.236,Ubuntu 22.04,64,2,120,RRHH,Alimentación,2015,False
77,srv-cyml-0077,10.4.157.100,Ubuntu 20.04,32,2,120,Marketing,Alimentación,2020,True
78,srv-zgmq-0078,10.5.101.60,Windows Server 2022,64,1,120,Marketing,Alimentación,2024,False
79,srv-jmtg-0079,10.5.207.252,Debian 11,64,2,120,RRHH,Alimentación,2022,True
80,srv-pkri-0080,10.3.15.208,Ubuntu 20.04,4,8,2048,RRHH,Alimentación,2016,True
81,srv-eeub-0081,10.4.252.247,Ubuntu 22.04,4,1,1024,Operaciones,Electrónica,2022,True
82,srv-iomi-0082,10.4.246.229,Windows Server 2022,8,4,512,Finanzas,Hogar,2021,True
83,srv-bzoq-0083,10.5.207.39,Red Hat 9,64,1,2048,Ventas,Electrónica,2017,False
84,srv-lacg-0084,10.2.181.47,Ubuntu 20.04,8,1,256,RRHH,Alimentación,2020,True
85,srv-oujz-0085,10.0.59.173,Windows Server 2022,32,1,120,Ventas,Electrónica,2020,True
86,srv-uunn-0086,10.5.132.17,CentOS 8,2,8,512,Operaciones,Hogar,2021,True
87,srv-sfgx-0087,10.3.166.215,Windows Server 2022,8,1,256,Finanzas,Electrónica,2016,False
88,srv-lgak-0088,10.5.40.75,Ubuntu 22.04,16,8,1024,Operaciones,Deportes,2024,False
89,srv-bxac-0089,10.0.231.18,Debian 11,64,4,256,RRHH,Alimentación,2018,True
90,srv-lgps-0090,10.4.70.210,Windows Server 2019,8,16,120,Ventas,Alimentación,2023,False
91,srv-bxce-0091,10.3.135.182,Ubuntu 22.04,64,2,512,Ventas,Deportes,2021,False
92,srv-wafy-0092,10.5.95.8,Red Hat 9,16,16,1024,Logística,Alimentación,2021,False
93,srv-gikp-0093,10.4.190.152,Windows Server 2022,4,16,512,Operaciones,Electrónica,2019,True
94,srv-sgyh-0094,10.2.54.82,Windows Server 2022,4,8,1024,Operaciones,Hogar,2021,True
95,srv-obny-0095,10.5.190.120,Ubuntu 22.04,32,2,120,RRHH,Alimentación,2016,True
96,srv-vvmk-0096,10.2.237.2,Windows Server 2022,64,4,120,IT,Deportes,2021,True
97,srv-zwfz-0097,10.4.68.195,Debian 11,32,1,1024,Ventas,Alimentación,2017,False
98,srv-uyhb-0098,10.0.64.16,Ubuntu 22.04,16,16,256,IT,Alimentación,2023,True
99,srv-ebbe-0099,10.5.219.163,Ubuntu 22.04,8,8,1024,Ventas,Electrónica,2015,False
100,srv-dobd-0100,10.3.88.211,Debian 11,32,16,1024,Marketing,Deportes,2021,True
101,srv-wicu-0101,10.3.159.122,Red Hat 9,4,8,1024,IT,Alimentación,2018,False
102,srv-icfo-0102,10.0.123.241,Windows Server 2019,8,2,1024,Logística,Alimentación,2021,True
103,srv-jdwq-0103,10.4.185.10,Ubuntu 20.04,4,1,120,Finanzas,Hogar,2018,True
104,srv-hxny-0104,10.3.240.64,Windows Server 2019,32,1,1024,Marketing,Electrónica,2022,False
105,srv-gxug-0105,10.1.238.81,Windows Server 2019,2,2,1024,IT,Hogar,2020,True
106,srv-dwwh-0106,10.3.206.35,CentOS 8,64,8,2048,IT,Electrónica,2020,False
107,srv-obhe-0107,10.2.31.157,Windows Server 2019,2,8,256,Ventas,Alimentación,2017,True
108,srv-zhla-0108,10.2.65.201,Windows Server 2022,8,1,1024,RRHH,Deportes,2021,True
109,srv-xkbg-0109,10.1.170.198,Windows Server 2019,4,16,1024,Logística,Alimentación,2020,True
110,srv-vyhb-0110,10.0.203.125,Ubuntu 22.04,8,4,1024,IT,Electrónica,2024,True
111,srv-qusa-0111,10.4.154.157,Red Hat 9,8,1,120,Operaciones,Hogar,2023,False
112,srv-xvin-0112,10.3.46.189,Windows Server 2022,64,16,256,Marketing,Hogar,2021,True
113,srv-nizw-0113,10.0.249.245,Windows Server 2019,64,8,512,Marketing,Deportes,2017,True
114,srv-euig-0114,10.5.90.41,Debian 11,2,16,1024,Finanzas,Alimentación,2017,True
115,srv-bkmv-0115,10.4.179.88,Debian 11,2,8,512,Finanzas,Electrónica,2021,True
116,srv-opev-0116,10.4.101.241,Ubuntu 22.04,8,8,256,IT,Deportes,2019,True
117,srv-pmhy-0117,10.5.11.215,CentOS 8,8,8,1024,Operaciones,Hogar,2020,True
118,srv-szta-0118,10.1.175.184,Debian 11,4,1,2048,IT,Hogar,2022,True
119,srv-lvrm-0119,10.1.26.115,CentOS 8,32,8,512,Ventas,Alimentación,2021,True
120,srv-iaqs-0120,10.5.143.168,Windows Server 2019,8,2,512,Operaciones,Electrónica,2016,True
121,srv-oqrt-0121,10.2.78.179,Windows Server 2022,32,16,2048,Ventas,Hogar,2023,True
122,srv-lpjp-0122,10.0.240.64,Windows Server 2022,2,2,1024,Marketing,Alimentación,2020,True
123,srv-iwut-0123,10.2.127.151,CentOS 8,4,8,120,RRHH,Hogar,2018,False
124,srv-wktb-0124,10.5.123.107,Windows Server 2022,32,1,256,Operaciones,Hogar,2021,True
125,srv-cwnp-0125,10.4.76.116,CentOS 8,16,8,1024,Finanzas,Deportes,2023,True
126,srv-bhvw-0126,10.2.139.2,Debian 11,4,8,1024,Finanzas,Hogar,2021,True
127,srv-myfo-0127,10.1.57.219,CentOS 8,8,8,512,Marketing,Electrónica,2019,False
128,srv-cxqs-0128,10.5.81.133,Ubuntu 20.04,8,1,256,Marketing,Electrónica,2020,True
129,srv-hqgi-0129,10.5.182.227,Windows Server 2022,64,8,2048,Logística,Deportes,2020,True
130,srv-uknm-0130,10.5.154.103,Ubuntu 20.04,32,8,120,Finanzas,Hogar,2024,True
131,srv-tyhw-0131,10.3.217.118,Windows Server 2022,4,8,2048,Finanzas,Deportes,2024,True
132,srv-mraq-0132,10.1.133.177,Red Hat 9,32,8,256,IT,Hogar,2015,True
133,srv-odpa-0133,10.5.91.53,Ubuntu 22.04,2,16,120,Operaciones,Electrónica,2021,True
134,srv-bcbg-0134,10.4.239.161,Windows Server 2019,8,16,120,Finanzas,Electrónica,2020,False
135,srv-vfjr-0135,10.2.243.113,CentOS 8,8,2,2048,Operaciones,Electrónica,2015,True
136,srv-zjfx-0136,10.0.227.65,Windows Server 2019,16,2,120,IT,Alimentación,2021,False
137,srv-twdp-0137,10.4.182.12,CentOS 8,64,2,1024,Logística,Electrónica,2017,False
138,srv-rnfn-0138,10.0.13.229,Windows Server 2022,64,2,2048,RRHH,Alimentación,2021,True
139,srv-xklz-0139,10.2.120.9,Ubuntu 22.04,16,8,512,Marketing,Alimentación,2023,True
140,srv-emkn-0140,10.4.9.29,Windows Server 2019,64,4,256,Operaciones,Alimentación,2017,True
141,srv-pksu-0141,10.5.50.211,Ubuntu 22.04,64,16,1024,Logística,Deportes,2015,True
142,srv-qqeo-0142,10.2.43.143,Red Hat 9,8,1,256,Logística,Hogar,2024,False
143,srv-iidb-0143,10.2.1.180,CentOS 8,32,2,120,IT,Deportes,2022,True
144,srv-dqmh-0144,10.5.7.225,Windows Server 2022,8,4,1024,IT,Deportes,2015,True
145,srv-vzkw-0145,10.3.238.46,CentOS 8,8,4,2048,IT,Hogar,2021,False
146,srv-cptg-0146,10.3.206.167,CentOS 8,2,4,512,Operaciones,Alimentación,2015,False
147,srv-omvz-0147,10.3.85.16,Ubuntu 20.04,2,1,1024,IT,Deportes,2019,False
148,srv-smkp-0148,10.1.142.75,Debian 11,2,2,512,Marketing,Deportes,2024,False
149,srv-dwbq-0149,10.3.63.107,Ubuntu 22.04,16,8,1024,RRHH,Alimentación,2023,True
150,srv-rlyy-0150,10.3.188.238,CentOS 8,4,8,1024,Marketing,Electrónica,2020,True
151,srv-pnzq-0151,10.0.17.253,Red Hat 9,4,4,1024,IT,Deportes,2023,False
152,srv-cjvh-0152,10.5.221.110,Windows Server 2022,8,8,120,Logística,Hogar,2021,False
153,srv-rvsy-0153,10.3.161.242,Windows Server 2019,64,4,1024,IT,Hogar,2017,False
154,srv-uine-0154,10.3.208.92,Ubuntu 20.04,16,4,2048,Marketing,Hogar,2021,True
155,srv-nmlx-0155,10.2.188.15,CentOS 8,32,1,256,Finanzas,Electrónica,2021,True
156,srv-dopv-0156,10.5.151.163,Ubuntu 20.04,2,4,256,Logística,Deportes,2022,True
157,srv-afos-0157,10.5.16.194,Red Hat 9,64,8,2048,Ventas,Hogar,2022,True
158,srv-xcmk-0158,10.5.147.210,Windows Server 2022,2,8,2048,Marketing,Hogar,2023,True
159,srv-kptf-0159,10.2.6.21,Red Hat 9,8,2,2048,Marketing,Deportes,2024,True
160,srv-ftco-0160,10.5.44.224,CentOS 8,2,4,512,Logística,Alimentación,2016,False
161,srv-zjky-0161,10.2.43.248,CentOS 8,16,1,120,Ventas,Electrónica,2019,True
162,srv-juol-0162,10.2.118.189,Windows Server 2019,32,16,2048,Marketing,Alimentación,2023,True
163,srv-pwsu-0163,10.4.59.161,CentOS 8,4,16,2048,Finanzas,Hogar,2015,False
164,srv-gitm-0164,10.3.33.145,Ubuntu 22.04,8,2,120,Finanzas,Alimentación,2021,True
165,srv-xxhb-0165,10.3.81.59,CentOS 8,64,2,256,Marketing,Hogar,2022,True
166,srv-sjsy-0166,10.2.190.32,Windows Server 2019,4,4,2048,Marketing,Alimentación,2015,True
167,srv-fhem-0167,10.0.108.19,Ubuntu 20.04,2,16,2048,Operaciones,Deportes,2019,False
168,srv-ikop-0168,10.3.137.23,Windows Server 2022,64,1,120,Logística,Alimentación,2020,True
169,srv-crgz-0169,10.3.193.200,Windows Server 2019,32,2,1024,RRHH,Electrónica,2017,True
170,srv-fevz-0170,10.5.202.240,Debian 11,16,8,1024,Ventas,Electrónica,2015,True
171,srv-xjrh-0171,10.3.87.59,CentOS 8,32,2,1024,IT,Electrónica,2022,False
172,srv-znyc-0172,10.3.54.83,Red Hat 9,16,1,2048,Operaciones,Alimentación,2015,True
173,srv-vcwx-0173,10.4.46.182,Debian 11,16,8,120,IT,Deportes,2020,True
174,srv-hrzn-0174,10.4.21.56,Windows Server 2019,16,2,1024,IT,Hogar,2018,False
175,srv-rhxc-0175,10.3.6.52,Red Hat 9,8,4,120,IT,Hogar,2022,True
176,srv-ovwd-0176,10.3.222.93,Debian 11,64,1,2048,Finanzas,Electrónica,2020,True
177,srv-flmc-0177,10.4.87.90,Windows Server 2019,32,16,2048,RRHH,Deportes,2020,True
178,srv-gwcj-0178,10.0.19.106,CentOS 8,2,16,120,IT,Hogar,2023,True
179,srv-yxsw-0179,10.4.78.246,Ubuntu 20.04,8,1,512,Ventas,Hogar,2019,True
180,srv-psxf-0180,10.4.24.35,CentOS 8,2,1,256,Operaciones,Electrónica,2021,True
181,srv-cvkh-0181,10.5.149.4,Red Hat 9,2,8,2048,Ventas,Alimentación,2015,True
182,srv-bzfd-0182,10.2.120.229,Windows Server 2022,16,2,512,Logística,Alimentación,2022,False
183,srv-chud-0183,10.2.189.92,CentOS 8,8,4,1024,Finanzas,Electrónica,2016,False
184,srv-xqxg-0184,10.5.9.25,CentOS 8,64,2,120,IT,Electrónica,2018,True
185,srv-sliw-0185,10.5.151.245,Windows Server 2019,32,2,2048,IT,Hogar,2016,True
186,srv-ulpi-0186,10.1.156.57,Windows Server 2019,2,4,256,Ventas,Electrónica,2022,True
187,srv-fqej-0187,10.3.152.243,Debian 11,8,2,2048,Ventas,Alimentación,2020,True
188,srv-arcm-0188,10.4.93.180,Red Hat 9,64,1,2048,Ventas,Deportes,2020,False
189,srv-eugm-0189,10.0.0.13,Red Hat 9,2,2,120,Ventas,Electrónica,2019,True
190,srv-ynjr-0190,10.2.56.190,Ubuntu 20.04,32,4,120,Finanzas,Electrónica,2018,True
191,srv-wkao-0191,10.5.250.205,Ubuntu 22.04,2,2,2048,Logística,Electrónica,2019,False
192,srv-nmsp-0192,10.4.167.20,Ubuntu 22.04,4,2,512,Logística,Alimentación,2024,True
193,srv-nfeb-0193,10.1.244.19,Windows Server 2019,16,8,1024,IT,Hogar,2023,True
194,srv-npga-0194,10.1.221.166,Ubuntu 20.04,32,16,1024,Marketing,Electrónica,2022,True
195,srv-xhkn-0195,10.3.246.159,Red Hat 9,16,2,2048,Marketing,Electrónica,2017,True
196,srv-kpim-0196,10.2.80.76,Ubuntu 20.04,2,1,256,Marketing,Hogar,2015,True
197,srv-nqhm-0197,10.5.160.80,Ubuntu 20.04,2,4,2048,Ventas,Electrónica,2015,True
198,srv-gspj-0198,10.5.128.75,Ubuntu 20.04,2,16,2048,Marketing,Alimentación,2018,True
199,srv-dgmz-0199,10.5.232.167,Debian 11,16,1,2048,Logística,Deportes,2022,True
200,srv-lywb-0200,10.4.252.252,Ubuntu 22.04,64,2,1024,RRHH,Hogar,2022,True
201,srv-muzb-0201,10.3.55.96,Ubuntu 22.04,4,8,2048,Finanzas,Hogar,2015,False
202,srv-qutx-0202,10.3.249.165,Ubuntu 22.04,4,4,1024,Ventas,Deportes,2022,True
203,srv-qhbh-0203,10.1.103.16,Red Hat 9,16,4,512,IT,Hogar,2018,False
204,srv-hfcq-0204,10.2.109.145,CentOS 8,32,2,2048,Operaciones,Hogar,2016,True
205,srv-bhho-0205,10.0.87.135,Windows Server 2022,16,2,1024,Operaciones,Hogar,2019,True
206,srv-loxu-0206,10.1.10.227,Ubuntu 20.04,4,16,1024,Finanzas,Electrónica,2019,True
207,srv-jpbx-0207,10.3.97.151,Ubuntu 20.04,64,4,120,Finanzas,Electrónica,2021,True
208,srv-cqni-0208,10.2.237.46,CentOS 8,4,1,512,Marketing,Hogar,2022,True
209,srv-jeyz-0209,10.3.180.153,Ubuntu 22.04,2,1,256,Operaciones,Alimentación,2021,True
210,srv-xysa-0210,10.5.212.55,Ubuntu 22.04,2,1,256,Marketing,Deportes,2020,False
211,srv-lvde-0211,10.1.193.242,Ubuntu 20.04,2,16,120,Logística,Hogar,2015,True
212,srv-sgjz-0212,10.3.85.56,Red Hat 9,8,1,256,Marketing,Alimentación,2022,True
213,srv-ofeh-0213,10.0.15.199,Windows Server 2019,4,1,2048,RRHH,Hogar,2018,True
214,srv-psir-0214,10.0.31.241,Red Hat 9,2,8,2048,Finanzas,Hogar,2016,True
215,srv-yntb-0215,10.3.48.145,Ubuntu 22.04,4,8,2048,RRHH,Electrónica,2018,True
216,srv-ihmy-0216,10.5.58.24,Debian 11,32,2,120,IT,Alimentación,2019,True
217,srv-lznd-0217,10.0.239.51,Debian 11,4,2,120,Operaciones,Electrónica,2019,True
218,srv-nuha-0218,10.0.196.252,Windows Server 2019,8,16,512,Operaciones,Hogar,2016,True
219,srv-avyu-0219,10.3.4.47,Ubuntu 20.04,16,1,1024,RRHH,Deportes,2016,False
220,srv-pyke-0220,10.4.72.99,Debian 11,64,16,1024,Marketing,Alimentación,2020,True
221,srv-qqkg-0221,10.2.249.242,Windows Server 2022,4,4,120,Logística,Alimentación,2020,True
222,srv-byir-0222,10.3.132.210,Red Hat 9,4,8,512,Operaciones,Electrónica,2024,True
223,srv-blkh-0223,10.3.166.60,Ubuntu 22.04,4,2,2048,Ventas,Alimentación,2016,True
224,srv-bbkn-0224,10.2.67.100,Ubuntu 20.04,16,4,120,Marketing,Electrónica,2016,True
225,srv-pono-0225,10.4.97.122,Debian 11,2,8,2048,Operaciones,Electrónica,2016,False
226,srv-zqkn-0226,10.0.36.113,Ubuntu 20.04,4,16,120,Ventas,Hogar,2019,False
227,srv-beyo-0227,10.0.154.104,Red Hat 9,2,8,1024,Logística,Electrónica,2022,True
228,srv-rlum-0228,10.5.130.252,Red Hat 9,16,1,120,Marketing,Deportes,2016,True
229,srv-mgnu-0229,10.4.112.118,Debian 11,4,4,1024,Marketing,Alimentación,2016,True
230,srv-pkwc-0230,10.4.86.223,CentOS 8,64,8,256,Ventas,Electrónica,2018,True
231,srv-gmwl-0231,10.5.71.173,Ubuntu 20.04,2,2,1024,Operaciones,Deportes,2018,False
232,srv-rtjw-0232,10.3.63.38,Debian 11,32,2,120,IT,Hogar,2024,True
233,srv-ykaz-0233,10.3.23.208,Windows Server 2019,8,8,2048,RRHH,Deportes,2017,True
234,srv-yqpb-0234,10.2.157.114,Red Hat 9,8,8,512,Finanzas,Electrónica,2021,True
235,srv-dnej-0235,10.0.45.65,Windows Server 2019,8,1,1024,Marketing,Alimentación,2021,True
236,srv-ftwe-0236,10.4.140.253,Windows Server 2022,2,4,120,Logística,Hogar,2018,False
237,srv-uhpb-0237,10.2.221.166,Debian 11,4,4,512,Ventas,Deportes,2015,True
238,srv-eszr-0238,10.5.137.248,Debian 11,16,8,1024,Logística,Alimentación,2018,False
239,srv-qmlk-0239,10.5.122.215,Windows Server 2019,4,4,2048,Marketing,Electrónica,2020,True
240,srv-cnje-0240,10.4.213.154,Ubuntu 20.04,64,8,256,Finanzas,Alimentación,2022,True
241,srv-eypd-0241,10.5.77.71,Debian 11,2,4,1024,RRHH,Deportes,2024,False
242,srv-ipwh-0242,10.0.10.108,CentOS 8,8,2,512,IT,Hogar,2015,False
243,srv-quzh-0243,10.2.137.212,Red Hat 9,16,16,512,Marketing,Hogar,2024,True
244,srv-dxsg-0244,10.5.188.153,Windows Server 2019,4,2,256,Finanzas,Hogar,2018,True
245,srv-xhzj-0245,10.0.146.171,Debian 11,4,4,1024,Logística,Deportes,2023,True
246,srv-gspx-0246,10.3.130.215,Windows Server 2019,4,8,512,RRHH,Electrónica,2024,True
247,srv-wvob-0247,10.3.136.104,Ubuntu 22.04,64,2,256,Marketing,Deportes,2016,True
248,srv-nuej-0248,10.5.43.47,Ubuntu 20.04,64,1,2048,Operaciones,Deportes,2023,True
249,srv-fmlp-0249,10.2.12.121,Ubuntu 20.04,32,2,120,Marketing,Deportes,2018,False
250,srv-epyn-0250,10.0.253.217,Ubuntu 20.04,32,16,2048,IT,Hogar,2021,True
251,srv-xrrz-0251,10.4.220.251,CentOS 8,32,4,256,Finanzas,Hogar,2017,True
252,srv-zkwm-0252,10.1.67.95,Red Hat 9,16,2,256,RRHH,Alimentación,2016,False
253,srv-eddr-0253,10.1.102.231,Windows Server 2022,2,8,120,Operaciones,Hogar,2023,True
254,srv-yhzb-0254,10.2.186.138,Ubuntu 22.04,2,8,1024,IT,Alimentación,2023,True
255,srv-zsds-0255,10.3.142.183,Debian 11,16,2,256,Logística,Hogar,2024,True
256,srv-sgzs-0256,10.3.183.154,Red Hat 9,32,1,2048,Logística,Hogar,2016,True
257,srv-azzj-0257,10.4.104.63,Windows Server 2019,64,1,2048,Ventas,Alimentación,2024,True
258,srv-ojyc-0258,10.5.108.208,Ubuntu 20.04,4,4,120,Finanzas,Electrónica,2018,True
259,srv-rzsl-0259,10.4.213.45,Red Hat 9,4,2,120,Ventas,Alimentación,2018,True
260,srv-flwz-0260,10.0.75.111,Windows Server 2019,16,16,1024,IT,Alimentación,2015,True
261,srv-mkqe-0261,10.2.172.243,CentOS 8,2,2,120,RRHH,Electrónica,2024,True
262,srv-gwnq-0262,10.1.99.175,CentOS 8,2,16,2048,Ventas,Hogar,2020,True
263,srv-ucnz-0263,10.2.253.43,Ubuntu 20.04,4,8,120,Operaciones,Alimentación,2024,False
264,srv-bwll-0264,10.3.98.53,Debian 11,64,16,512,IT,Deportes,2018,True
265,srv-ypnx-0265,10.2.185.36,Debian 11,16,4,2048,Operaciones,Deportes,2021,True
266,srv-vyrm-0266,10.0.52.100,Windows Server 2022,64,2,1024,Logística,Hogar,2023,True
267,srv-yeqi-0267,10.1.121.235,Ubuntu 22.04,4,1,1024,Ventas,Alimentación,2015,True
268,srv-niko-0268,10.1.52.53,Ubuntu 20.04,32,4,120,Finanzas,Hogar,2024,True
269,srv-dmhx-0269,10.1.253.73,Red Hat 9,2,1,256,RRHH,Electrónica,2022,False
270,srv-lihv-0270,10.0.97.217,CentOS 8,16,8,256,Finanzas,Alimentación,2015,True
271,srv-yyyt-0271,10.1.233.52,Ubuntu 20.04,8,8,512,Marketing,Deportes,2021,True
272,srv-fnml-0272,10.5.91.85,Windows Server 2022,32,8,1024,Finanzas,Alimentación,2018,True
